# 'water_0_30.h5', 'cement_0_30.h5', 'Asphalt_0_30.h5', 'Asphaltwet_0_30.h5', 'roadgravel_0_30.h5', 'grass_0_30.h5', 'Roughgravel_0_30.h5'
8.705660377358491075e+01,8.400000000000000000e+01,8.709433962264151319e+01,7.761467889908256268e+01,9.003809523809523796e+01,8.674766355140187102e+01,9.617475728155339709e+01
8.679245283018867951e+01,8.390654205607476968e+01,8.700000000000000000e+01,7.715596330275229775e+01,9.001904761904762609e+01,8.689719626168223954e+01,9.627184466019417641e+01
8.641509433962264097e+01,8.362616822429906449e+01,8.700000000000000000e+01,7.706422018348624192e+01,9.003809523809523796e+01,8.712149532710280653e+01,9.609708737864077932e+01
8.611320754716980730e+01,8.325233644859812898e+01,8.686792452830188438e+01,7.686238532110091626e+01,9.011428571428571388e+01,8.745794392523364991e+01,9.601941747572816155e+01
8.605660377358491075e+01,8.278504672897196315e+01,8.686792452830188438e+01,7.651376146788990695e+01,9.011428571428571388e+01,8.745794392523364991e+01,9.601941747572816155e+01
8.552830188679244827e+01,8.269158878504673282e+01,8.667924528301887221e+01,7.629357798165138149e+01,8.994285714285713595e+01,8.760747663551401843e+01,9.603883495145630889e+01
8.513207547169811562e+01,8.242990654205607370e+01,8.652830188679244827e+01,7.620183486238532566e+01,8.990476190476189799e+01,8.766355140186915662e+01,9.603883495145630889e+01
8.488679245283019270e+01,8.205607476635513819e+01,8.588679245283019270e+01,7.585321100917431636e+01,8.980952380952381020e+01,8.768224299065420269e+01,9.598058252427183845e+01
8.479245283018867951e+01,8.125233644859812898e+01,8.588679245283019270e+01,7.543119266055046523e+01,8.980952380952381020e+01,8.777570093457943301e+01,9.592233009708738223e+01
8.443396226415094930e+01,8.099065420560746986e+01,8.549056603773584584e+01,7.517431192660549755e+01,8.963809523809523228e+01,8.796261682242990787e+01,9.588349514563107334e+01
8.428301886792452535e+01,8.072897196261682495e+01,8.541509433962264097e+01,7.477064220183486043e+01,8.961904761904762040e+01,8.803738317757009213e+01,9.598058252427183845e+01
8.339622641509433265e+01,8.009345794392523032e+01,8.492452830188679513e+01,7.447706422018349315e+01,8.958095238095238244e+01,8.807476635514018426e+01,9.582524271844660291e+01
8.328301886792452535e+01,7.966355140186915662e+01,8.494339622641508925e+01,7.429357798165138149e+01,8.942857142857143060e+01,8.816822429906541458e+01,9.594174757281552957e+01
8.271698113207547465e+01,7.930841121495326718e+01,8.479245283018867951e+01,7.420183486238532566e+01,8.948571428571428044e+01,8.824299065420561305e+01,9.596116504854369111e+01
8.211320754716980730e+01,7.880373831775700921e+01,8.469811320754716633e+01,7.341284403669725123e+01,8.948571428571428044e+01,8.839252336448598157e+01,9.561165048543689693e+01
8.184905660377359027e+01,7.824299065420561305e+01,8.435849056603773022e+01,7.300917431192659990e+01,8.935238095238095468e+01,8.848598130841121190e+01,9.561165048543689693e+01
8.150943396226415416e+01,7.807476635514018426e+01,8.441509433962264097e+01,7.289908256880734427e+01,8.935238095238095468e+01,8.854205607476635009e+01,9.553398058252426495e+01
8.101886792452830832e+01,7.751401869158878810e+01,8.390566037735848681e+01,7.267889908256880460e+01,8.929523809523809064e+01,8.854205607476635009e+01,9.553398058252426495e+01
8.050943396226415416e+01,7.667289719626168676e+01,8.352830188679244827e+01,7.194495412844037219e+01,8.906666666666666288e+01,8.850467289719625796e+01,9.535922330097086785e+01
8.026415094339623124e+01,7.626168224299065912e+01,8.318867924528301216e+01,7.174311926605504652e+01,8.897142857142857508e+01,8.854205607476635009e+01,9.522330097087377965e+01
7.958490566037735903e+01,7.562616822429906449e+01,8.294339622641508925e+01,7.078899082568807444e+01,8.881904761904762324e+01,8.869158878504673282e+01,9.512621359223301454e+01
7.884905660377359027e+01,7.538317757009345144e+01,8.269811320754716633e+01,7.022018348623852546e+01,8.838095238095237960e+01,8.899065420560746986e+01,9.510679611650485299e+01
7.837735849056603854e+01,7.472897196261682495e+01,8.245283018867924341e+01,7.012844036697248384e+01,8.828571428571429180e+01,8.921495327102803685e+01,9.510679611650485299e+01
7.790566037735848681e+01,7.413084112149532245e+01,8.228301886792452535e+01,6.994495412844037219e+01,8.828571428571429180e+01,8.921495327102803685e+01,9.497087378640776478e+01
7.733962264150943611e+01,7.321495327102803685e+01,8.175471698113207708e+01,6.889908256880734427e+01,8.796190476190476204e+01,8.949532710280374204e+01,9.469902912621358837e+01
7.700000000000000000e+01,7.265420560747664069e+01,8.126415094339623124e+01,6.829357798165138149e+01,8.794285714285713595e+01,8.953271028037383417e+01,9.460194174757280905e+01
7.637735849056603854e+01,7.209345794392523032e+01,8.096226415094339757e+01,6.779816513761467434e+01,8.792380952380952408e+01,8.953271028037383417e+01,9.425242718446601486e+01
7.583018867924528195e+01,7.168224299065420269e+01,8.084905660377359027e+01,6.700917431192659990e+01,8.779047619047618412e+01,8.981308411214953935e+01,9.411650485436892666e+01
7.479245283018867951e+01,7.087850467289719347e+01,8.052830188679244827e+01,6.656880733944953477e+01,8.779047619047618412e+01,8.990654205607476968e+01,9.376699029126213247e+01
7.418867924528301216e+01,7.000000000000000000e+01,8.016981132075471805e+01,6.618348623853211166e+01,8.752380952380951840e+01,8.988785046728972361e+01,9.341747572815533829e+01
7.347169811320755173e+01,6.919626168224299079e+01,8.005660377358491075e+01,6.504587155963302791e+01,8.735238095238095468e+01,8.988785046728972361e+01,9.322330097087377965e+01
7.315094339622640973e+01,6.867289719626168676e+01,7.956603773584905070e+01,6.486238532110091626e+01,8.733333333333332860e+01,8.998130841121495394e+01,9.302912621359223522e+01
7.169811320754716633e+01,6.777570093457943301e+01,7.920754716981132049e+01,6.425688073394495348e+01,8.720000000000000284e+01,9.005607476635513819e+01,9.299029126213592633e+01
7.135849056603773022e+01,6.732710280373831324e+01,7.896226415094339757e+01,6.343119266055045813e+01,8.716190476190476488e+01,9.048598130841121190e+01,9.281553398058252924e+01
7.041509433962264097e+01,6.680373831775700921e+01,7.847169811320755173e+01,6.300917431192660700e+01,8.708571428571428896e+01,9.048598130841121190e+01,9.225242718446601486e+01
6.984905660377359027e+01,6.622429906542056699e+01,7.809433962264151319e+01,6.211009174311926273e+01,8.695238095238094900e+01,9.072897196261682495e+01,9.205825242718447043e+01
6.841509433962264097e+01,6.553271028037383417e+01,7.743396226415094930e+01,6.152293577981651396e+01,8.702857142857142492e+01,9.072897196261682495e+01,9.200000000000000000e+01
6.783018867924528195e+01,6.431775700934579731e+01,7.766037735849056389e+01,6.044036697247706513e+01,8.702857142857142492e+01,9.085981308411214741e+01,9.196116504854369111e+01
6.711320754716980730e+01,6.375700934579439405e+01,7.735849056603773022e+01,5.970642201834862561e+01,8.683809523809523512e+01,9.123364485981308292e+01,9.166990291262135315e+01
6.613207547169811562e+01,6.314018691588785259e+01,7.639622641509433265e+01,5.917431192660550465e+01,8.683809523809523512e+01,9.117757009345794472e+01,9.128155339805825008e+01
6.541509433962264097e+01,6.269158878504672572e+01,7.601886792452830832e+01,5.823853211009174657e+01,8.672380952380952124e+01,9.125233644859812898e+01,9.126213592233010274e+01
6.400000000000000000e+01,6.216822429906542169e+01,7.567924528301887221e+01,5.796330275229357909e+01,8.662857142857143344e+01,9.114018691588785259e+01,9.116504854368932342e+01
6.341509433962264097e+01,6.155140186915888023e+01,7.522641509433962881e+01,5.691743119266055118e+01,8.651428571428571956e+01,9.114018691588785259e+01,9.083495145631067658e+01
6.205660377358490365e+01,6.085981308411214741e+01,7.447169811320755173e+01,5.611009174311926273e+01,8.647619047619048160e+01,9.125233644859812898e+01,9.044660194174757351e+01
6.156603773584905781e+01,5.992523364485981574e+01,7.422641509433962881e+01,5.511926605504586973e+01,8.613333333333333997e+01,9.125233644859812898e+01,9.034951456310679418e+01
6.001886792452830122e+01,5.966355140186915662e+01,7.403773584905660243e+01,5.427522935779816748e+01,8.605714285714286405e+01,9.132710280373831324e+01,9.003883495145630889e+01
