# 'cement_0_15.h5', 'water_0_15.h5', 'Asphaltwet_0_15.h5', 'Asphalt_0_15.h5', 'Roughgravel_0_15.h5', 'grass_0_15.h5', 'roadgravel_0_15.h5'
9.638461538461538680e+01,4.681132075471698073e+01,8.674285714285714732e+01,7.693457943925233167e+01,8.005714285714286405e+01,8.611214953271027639e+01,8.260952380952380736e+01
9.640384615384616041e+01,4.666037735849056389e+01,8.676190476190475920e+01,7.689719626168223954e+01,8.030476190476190368e+01,8.652336448598130403e+01,8.272380952380952124e+01
9.713461538461538680e+01,4.573584905660377586e+01,8.674285714285714732e+01,7.734579439252335931e+01,8.032380952380952976e+01,8.665420560747664069e+01,8.276190476190475920e+01
9.736538461538461320e+01,4.505660377358490365e+01,8.674285714285714732e+01,7.742056074766355778e+01,8.060952380952380736e+01,8.680373831775700921e+01,8.281904761904762324e+01
9.751923076923077360e+01,4.435849056603773732e+01,8.681904761904762324e+01,7.738317757009345144e+01,8.074285714285714732e+01,8.689719626168223954e+01,8.276190476190475920e+01
9.753846153846153300e+01,4.371698113207547465e+01,8.695238095238094900e+01,7.743925233644860384e+01,8.083809523809523512e+01,8.706542056074766833e+01,8.276190476190475920e+01
9.782692307692308020e+01,4.335849056603773732e+01,8.716190476190476488e+01,7.743925233644860384e+01,8.087619047619047308e+01,8.706542056074766833e+01,8.293333333333333712e+01
9.792307692307691980e+01,4.235849056603773732e+01,8.716190476190476488e+01,7.751401869158878810e+01,8.087619047619047308e+01,8.738317757009345144e+01,8.285714285714286120e+01
9.819230769230769340e+01,4.179245283018867951e+01,8.716190476190476488e+01,7.747663551401869597e+01,8.104761904761905100e+01,8.790654205607476968e+01,8.293333333333333712e+01
9.826923076923077360e+01,4.081132075471698073e+01,8.700952380952381304e+01,7.753271028037383417e+01,8.116190476190476488e+01,8.794392523364486181e+01,8.281904761904762324e+01
9.842307692307691980e+01,4.009433962264150608e+01,8.710476190476190084e+01,7.770093457943924875e+01,8.121904761904761472e+01,8.788785046728972361e+01,8.287619047619047308e+01
9.865384615384616041e+01,3.962264150943396146e+01,8.714285714285713880e+01,7.773831775700934088e+01,8.121904761904761472e+01,8.779439252336447908e+01,8.266666666666667140e+01
9.871153846153846700e+01,3.818867924528301927e+01,8.714285714285713880e+01,7.800000000000000000e+01,8.133333333333332860e+01,8.781308411214953935e+01,8.266666666666667140e+01
9.855769230769230660e+01,3.730188679245283367e+01,8.714285714285713880e+01,7.800000000000000000e+01,8.142857142857143060e+01,8.786915887850467755e+01,8.259047619047619548e+01
9.890384615384616041e+01,3.598113207547169878e+01,8.683809523809523512e+01,7.783177570093458542e+01,8.129523809523809064e+01,8.800000000000000000e+01,8.264761904761904532e+01
9.898076923076922640e+01,3.498113207547169878e+01,8.664761904761904532e+01,7.773831775700934088e+01,8.129523809523809064e+01,8.809345794392523032e+01,8.276190476190475920e+01
9.953846153846153300e+01,3.394339622641509635e+01,8.672380952380952124e+01,7.771962616822429482e+01,8.127619047619047876e+01,8.846728971962616583e+01,8.247619047619048160e+01
9.957692307692308020e+01,3.298113207547169878e+01,8.699047619047618696e+01,7.788785046728972361e+01,8.127619047619047876e+01,8.807476635514018426e+01,8.241904761904761756e+01
9.948076923076922640e+01,3.139622641509433976e+01,8.699047619047618696e+01,7.770093457943924875e+01,8.129523809523809064e+01,8.835514018691588944e+01,8.241904761904761756e+01
9.919230769230769340e+01,2.986792452830188793e+01,8.691428571428571104e+01,7.790654205607476968e+01,8.106666666666666288e+01,8.850467289719625796e+01,8.240000000000000568e+01
9.919230769230769340e+01,2.828301886792452891e+01,8.676190476190475920e+01,7.790654205607476968e+01,8.083809523809523512e+01,8.850467289719625796e+01,8.201904761904762609e+01
9.928846153846153300e+01,2.666037735849056745e+01,8.657142857142856940e+01,7.786915887850467755e+01,8.085714285714286120e+01,8.882242990654205528e+01,8.226666666666666572e+01
9.934615384615383959e+01,2.541509433962264097e+01,8.632380952380952976e+01,7.775700934579438695e+01,8.074285714285714732e+01,8.822429906542056699e+01,8.213333333333333997e+01
9.950000000000000000e+01,2.422641509433962170e+01,8.626666666666666572e+01,7.771962616822429482e+01,8.070476190476190936e+01,8.824299065420561305e+01,8.190476190476189799e+01
9.946153846153846700e+01,2.254716981132075304e+01,8.626666666666666572e+01,7.770093457943924875e+01,8.070476190476190936e+01,8.822429906542056699e+01,8.201904761904762609e+01
9.950000000000000000e+01,2.079245283018867951e+01,8.638095238095237960e+01,7.771962616822429482e+01,8.062857142857143344e+01,8.844859813084111977e+01,8.177142857142857224e+01
9.963461538461538680e+01,1.932075471698113134e+01,8.638095238095237960e+01,7.777570093457943301e+01,8.064761904761904532e+01,8.861682242990654856e+01,8.158095238095238244e+01
9.951923076923077360e+01,1.756603773584905781e+01,8.641904761904761756e+01,7.777570093457943301e+01,8.060952380952380736e+01,8.859813084112148829e+01,8.129523809523809064e+01
9.942307692307691980e+01,1.588679245283018915e+01,8.617142857142857792e+01,7.781308411214953935e+01,8.057142857142856940e+01,8.837383177570093551e+01,8.120000000000000284e+01
9.932692307692308020e+01,1.433962264150943433e+01,8.609523809523810201e+01,7.758878504672897236e+01,8.059047619047619548e+01,8.831775700934579731e+01,8.135238095238095468e+01
9.928846153846153300e+01,1.290566037735849036e+01,8.605714285714286405e+01,7.719626168224299079e+01,8.051428571428571956e+01,8.813084112149532245e+01,8.144761904761904248e+01
9.930769230769230660e+01,1.141509433962264097e+01,8.600000000000000000e+01,7.691588785046728560e+01,8.051428571428571956e+01,8.822429906542056699e+01,8.129523809523809064e+01
9.948076923076922640e+01,1.009433962264150964e+01,8.582857142857142208e+01,7.672897196261682495e+01,8.062857142857143344e+01,8.824299065420561305e+01,8.123809523809524080e+01
9.946153846153846700e+01,9.000000000000000000e+00,8.571428571428570820e+01,7.672897196261682495e+01,8.047619047619048160e+01,8.816822429906541458e+01,8.120000000000000284e+01
9.932692307692308020e+01,8.132075471698113844e+00,8.527619047619047876e+01,7.663551401869159463e+01,8.049523809523809348e+01,8.844859813084111977e+01,8.104761904761905100e+01
9.932692307692308020e+01,7.433962264150943078e+00,8.508571428571428896e+01,7.659813084112148829e+01,8.049523809523809348e+01,8.844859813084111977e+01,8.100952380952381304e+01
9.923076923076922640e+01,7.528301886792452713e+00,8.502857142857142492e+01,7.661682242990654856e+01,8.028571428571429180e+01,8.846728971962616583e+01,8.099047619047618696e+01
9.948076923076922640e+01,7.566037735849056922e+00,8.462857142857143344e+01,7.663551401869159463e+01,7.994285714285713595e+01,8.842990654205607370e+01,8.089523809523809916e+01
9.959615384615383959e+01,7.679245283018867774e+00,8.436190476190476772e+01,7.642990654205607370e+01,7.959999999999999432e+01,8.831775700934579731e+01,8.060952380952380736e+01
9.959615384615383959e+01,8.490566037735849392e+00,8.430476190476190368e+01,7.613084112149532245e+01,7.942857142857143060e+01,8.841121495327102764e+01,8.057142857142856940e+01
9.957692307692308020e+01,8.867924528301886156e+00,8.409523809523810201e+01,7.603738317757009213e+01,7.937142857142856656e+01,8.837383177570093551e+01,8.020952380952381588e+01
9.957692307692308020e+01,9.452830188679245182e+00,8.400000000000000000e+01,7.605607476635513819e+01,7.923809523809524080e+01,8.854205607476635009e+01,8.007619047619047592e+01
9.942307692307691980e+01,9.641509433962264453e+00,8.386666666666666003e+01,7.601869158878504606e+01,7.908571428571428896e+01,8.854205607476635009e+01,7.975238095238094616e+01
9.946153846153846700e+01,9.924528301886791581e+00,8.388571428571428612e+01,7.603738317757009213e+01,7.891428571428571104e+01,8.861682242990654856e+01,7.969523809523809632e+01
9.978846153846153300e+01,1.016981132075471628e+01,8.367619047619047024e+01,7.600000000000000000e+01,7.891428571428571104e+01,8.861682242990654856e+01,7.959999999999999432e+01
9.996153846153846700e+01,1.028301886792452891e+01,8.337142857142856656e+01,7.603738317757009213e+01,7.878095238095238528e+01,8.872897196261682495e+01,7.965714285714285836e+01
9.996153846153846700e+01,1.066037735849056567e+01,8.331428571428571672e+01,7.596261682242990787e+01,7.849523809523809348e+01,8.884112149532710134e+01,7.956190476190475636e+01
1.001346153846153868e+02,1.066037735849056567e+01,8.325714285714285268e+01,7.596261682242990787e+01,7.855238095238095752e+01,8.897196261682242380e+01,7.950476190476190652e+01
1.001346153846153868e+02,1.077358490566037652e+01,8.320000000000000284e+01,7.596261682242990787e+01,7.824761904761905384e+01,8.900934579439253014e+01,7.921904761904761472e+01
1.003461538461538396e+02,1.086792452830188616e+01,8.316190476190476488e+01,7.596261682242990787e+01,7.817142857142857792e+01,8.904672897196262227e+01,7.910476190476190084e+01
1.003461538461538396e+02,1.096226415094339579e+01,8.299047619047618696e+01,7.583177570093458542e+01,7.824761904761905384e+01,8.904672897196262227e+01,7.900952380952381304e+01
1.000961538461538396e+02,1.105660377358490543e+01,8.268571428571428328e+01,7.583177570093458542e+01,7.807619047619047592e+01,8.912149532710280653e+01,7.900952380952381304e+01
1.001538461538461604e+02,1.105660377358490543e+01,8.264761904761904532e+01,7.581308411214953935e+01,7.786666666666666003e+01,8.917757009345794472e+01,7.897142857142857508e+01
1.001730769230769198e+02,1.105660377358490543e+01,8.257142857142856940e+01,7.579439252336447908e+01,7.779047619047618412e+01,8.927102803738317505e+01,7.895238095238094900e+01
1.005384615384615330e+02,1.115094339622641506e+01,8.249523809523809348e+01,7.579439252336447908e+01,7.729523809523809064e+01,8.927102803738317505e+01,7.908571428571428896e+01
1.006346153846153868e+02,1.115094339622641506e+01,8.232380952380952976e+01,7.579439252336447908e+01,7.720000000000000284e+01,8.928971962616822111e+01,7.899047619047618696e+01
1.007884615384615330e+02,1.115094339622641506e+01,8.243809523809524364e+01,7.577570093457943301e+01,7.685714285714286120e+01,8.928971962616822111e+01,7.900952380952381304e+01
1.008076923076923066e+02,1.090566037735849036e+01,8.241904761904761756e+01,7.577570093457943301e+01,7.676190476190475920e+01,8.951401869158878810e+01,7.900952380952381304e+01
1.008076923076923066e+02,1.077358490566037652e+01,8.219047619047618980e+01,7.577570093457943301e+01,7.668571428571428328e+01,8.953271028037383417e+01,7.900952380952381304e+01
1.008461538461538396e+02,1.000000000000000000e+01,8.219047619047618980e+01,7.577570093457943301e+01,7.647619047619048160e+01,8.953271028037383417e+01,7.900952380952381304e+01
1.009423076923076934e+02,9.660377358490565669e+00,8.219047619047618980e+01,7.579439252336447908e+01,7.615238095238095184e+01,8.970093457943924875e+01,7.899047619047618696e+01
1.010576923076923066e+02,9.132075471698113844e+00,8.207619047619047592e+01,7.581308411214953935e+01,7.611428571428571388e+01,8.973831775700934088e+01,7.899047619047618696e+01
1.010769230769230802e+02,8.811320754716980730e+00,8.194285714285713595e+01,7.581308411214953935e+01,7.607619047619047592e+01,8.973831775700934088e+01,7.900952380952381304e+01
1.011730769230769198e+02,9.075471698113208419e+00,8.194285714285713595e+01,7.585046728971963148e+01,7.577142857142857224e+01,8.973831775700934088e+01,7.900952380952381304e+01
1.012500000000000000e+02,9.132075471698113844e+00,8.200000000000000000e+01,7.588785046728972361e+01,7.571428571428570820e+01,8.977570093457943301e+01,7.897142857142857508e+01
1.013269230769230802e+02,9.981132075471698784e+00,8.201904761904762609e+01,7.588785046728972361e+01,7.554285714285714448e+01,8.983177570093458542e+01,7.897142857142857508e+01
1.014615384615384670e+02,1.103773584905660421e+01,8.198095238095237391e+01,7.588785046728972361e+01,7.539047619047619264e+01,8.992523364485981574e+01,7.906666666666666288e+01
1.016153846153846132e+02,1.245283018867924518e+01,8.198095238095237391e+01,7.590654205607476968e+01,7.504761904761905100e+01,9.003738317757009213e+01,7.910476190476190084e+01
1.017692307692307736e+02,1.439622641509433976e+01,8.205714285714286405e+01,7.590654205607476968e+01,7.493333333333333712e+01,9.003738317757009213e+01,7.914285714285713880e+01
1.023653846153846132e+02,1.705660377358490720e+01,8.205714285714286405e+01,7.585046728971963148e+01,7.478095238095238528e+01,9.022429906542056699e+01,7.914285714285713880e+01
1.028269230769230802e+02,1.986792452830188793e+01,8.207619047619047592e+01,7.585046728971963148e+01,7.479999999999999716e+01,9.050467289719625796e+01,7.918095238095237676e+01
1.030576923076923066e+02,2.307547169811320842e+01,8.207619047619047592e+01,7.586915887850467755e+01,7.485714285714286120e+01,9.052336448598130403e+01,7.918095238095237676e+01
1.033846153846153868e+02,2.647169811320754818e+01,8.205714285714286405e+01,7.596261682242990787e+01,7.472380952380952124e+01,9.054205607476635009e+01,7.921904761904761472e+01
1.036346153846153868e+02,3.026415094339622769e+01,8.211428571428571388e+01,7.601869158878504606e+01,7.468571428571428328e+01,9.095327102803737773e+01,7.923809523809524080e+01
1.037307692307692264e+02,3.407547169811320487e+01,8.219047619047618980e+01,7.605607476635513819e+01,7.468571428571428328e+01,9.100934579439253014e+01,7.923809523809524080e+01
1.044230769230769198e+02,3.813207547169811562e+01,8.219047619047618980e+01,7.605607476635513819e+01,7.460952380952380736e+01,9.121495327102803685e+01,7.923809523809524080e+01
1.050000000000000000e+02,4.275471698113207708e+01,8.219047619047618980e+01,7.607476635514018426e+01,7.438095238095237960e+01,9.160747663551401843e+01,7.923809523809524080e+01
1.056538461538461604e+02,4.747169811320754462e+01,8.222857142857142776e+01,7.607476635514018426e+01,7.422857142857142776e+01,9.181308411214953935e+01,7.927619047619047876e+01
1.061730769230769198e+02,5.296226415094339757e+01,8.222857142857142776e+01,7.607476635514018426e+01,7.419047619047618980e+01,9.257943925233644222e+01,7.935238095238095468e+01
1.070576923076923066e+02,5.867924528301886511e+01,8.236190476190476772e+01,7.609345794392523032e+01,7.419047619047618980e+01,9.284112149532710134e+01,7.937142857142856656e+01
1.076346153846153868e+02,6.475471698113207708e+01,8.238095238095237960e+01,7.613084112149532245e+01,7.415238095238095184e+01,9.343925233644860384e+01,7.948571428571428044e+01
1.080192307692307736e+02,7.060377358490566735e+01,8.238095238095237960e+01,7.614953271028036852e+01,7.413333333333333997e+01,9.418691588785046065e+01,7.956190476190475636e+01
1.086153846153846132e+02,7.681132075471698784e+01,8.240000000000000568e+01,7.624299065420561305e+01,7.415238095238095184e+01,9.542056074766355778e+01,7.980952380952381020e+01
1.093653846153846132e+02,8.320754716981132049e+01,8.245714285714285552e+01,7.624299065420561305e+01,7.398095238095237391e+01,9.641121495327102764e+01,8.005714285714286405e+01
1.102500000000000000e+02,9.058490566037735903e+01,8.245714285714285552e+01,7.628037383177570518e+01,7.400000000000000000e+01,9.749532710280374204e+01,8.020952380952381588e+01
1.111346153846153868e+02,9.822641509433962881e+01,8.249523809523809348e+01,7.661682242990654856e+01,7.400000000000000000e+01,9.897196261682242380e+01,8.062857142857143344e+01
1.121923076923076934e+02,1.064339622641509493e+02,8.264761904761904532e+01,7.697196261682242380e+01,7.396190476190476204e+01,1.005233644859813040e+02,8.091428571428571104e+01
1.131538461538461604e+02,1.144339622641509493e+02,8.276190476190475920e+01,7.712149532710280653e+01,7.401904761904762609e+01,1.018504672897196315e+02,8.121904761904761472e+01
1.140576923076923066e+02,1.226226415094339615e+02,8.308571428571428896e+01,7.755140186915888023e+01,7.403809523809523796e+01,1.032897196261682211e+02,8.190476190476189799e+01
1.149807692307692264e+02,1.315660377358490507e+02,8.329523809523809064e+01,7.818691588785046065e+01,7.407619047619047592e+01,1.048785046728971935e+02,8.236190476190476772e+01
1.159230769230769198e+02,1.412075471698113347e+02,8.390476190476189799e+01,7.889719626168223954e+01,7.411428571428571388e+01,1.063738317757009355e+02,8.295238095238094900e+01
1.168846153846153868e+02,1.507924528301886653e+02,8.481904761904762324e+01,7.947663551401869597e+01,7.411428571428571388e+01,1.080373831775700921e+02,8.426666666666666572e+01
1.180192307692307736e+02,1.608679245283018986e+02,8.563809523809523228e+01,8.005607476635513819e+01,7.417142857142857792e+01,1.097383177570093409e+02,8.516190476190476488e+01
1.191153846153846132e+02,1.713773584905660243e+02,8.622857142857142776e+01,8.134579439252335931e+01,7.422857142857142776e+01,1.112710280373831750e+02,8.605714285714286405e+01
1.203269230769230802e+02,1.823018867924528195e+02,8.750476190476190652e+01,8.257943925233644222e+01,7.426666666666666572e+01,1.131401869158878526e+02,8.746666666666666856e+01
1.215961538461538396e+02,1.936037735849056673e+02,8.883809523809523512e+01,8.409345794392523032e+01,7.426666666666666572e+01,1.148971962616822395e+02,8.931428571428571672e+01
1.229423076923076934e+02,2.056226415094339757e+02,9.015238095238095184e+01,8.573831775700934088e+01,7.441904761904761756e+01,1.168037383177570092e+02,9.106666666666666288e+01
1.241923076923076934e+02,2.179811320754716917e+02,9.159999999999999432e+01,8.727102803738317505e+01,7.460952380952380736e+01,1.189532710280373777e+02,9.268571428571428328e+01
