# 'RoadGravel_0_0.h5', 'Cement_0_0.h5', 'RoughGravel_0_0.h5', 'Asphalt_0_0.h5', 'Grass_0_0.h5', 'Puddle_0_0.h5', 'AsphaltWet_0_0.h5'
4.807547169811320487e+01,3.562616822429906449e+01,8.527619047619047876e+01,7.559633027522936288e+01,8.466055045871559059e+01,8.132075471698113844e+00,5.038461538461538680e+01
4.807547169811320487e+01,3.562616822429906449e+01,8.527619047619047876e+01,7.555963302752293487e+01,8.482568807339450245e+01,7.981132075471697895e+00,4.988461538461538680e+01
4.784905660377358316e+01,3.568224299065420269e+01,8.552380952380951840e+01,7.546788990825687904e+01,8.488073394495413027e+01,8.094339622641509635e+00,4.959615384615384670e+01
4.784905660377358316e+01,3.573831775700934799e+01,8.542857142857143060e+01,7.528440366972476738e+01,8.495412844036697209e+01,8.339622641509434331e+00,4.890384615384615330e+01
4.783018867924528195e+01,3.570093457943925586e+01,8.548571428571428044e+01,7.517431192660549755e+01,8.493577981651375808e+01,8.716981132075471095e+00,4.886538461538461320e+01
4.781132075471698073e+01,3.570093457943925586e+01,8.552380952380951840e+01,7.513761467889908374e+01,8.493577981651375808e+01,9.283018867924528905e+00,4.855769230769230660e+01
4.745283018867924341e+01,3.570093457943925586e+01,8.579047619047618412e+01,7.491743119266054407e+01,8.508256880733945593e+01,1.007547169811320842e+01,4.825000000000000000e+01
4.745283018867924341e+01,3.577570093457944012e+01,8.580952380952381020e+01,7.469724770642201861e+01,8.508256880733945593e+01,1.094339622641509457e+01,4.801923076923076650e+01
4.741509433962264097e+01,3.590654205607476968e+01,8.563809523809523228e+01,7.429357798165138149e+01,8.508256880733945593e+01,1.137735849056603854e+01,4.798076923076923350e+01
4.747169811320754462e+01,3.622429906542055988e+01,8.559999999999999432e+01,7.429357798165138149e+01,8.515596330275229775e+01,1.175471698113207530e+01,4.701923076923076650e+01
4.739622641509433976e+01,3.624299065420560595e+01,8.539047619047619264e+01,7.366972477064220470e+01,8.519266055045871155e+01,1.200000000000000000e+01,4.678846153846154010e+01
4.737735849056603854e+01,3.646728971962616583e+01,8.556190476190475636e+01,7.346788990825687904e+01,8.521100917431192556e+01,1.309433962264150964e+01,4.617307692307691980e+01
4.735849056603773732e+01,3.723364485981308292e+01,8.548571428571428044e+01,7.299082568807340010e+01,8.533944954128440941e+01,1.347169811320754640e+01,4.601923076923076650e+01
4.709433962264150608e+01,3.762616822429906449e+01,8.552380952380951840e+01,7.277064220183486043e+01,8.539449541284403722e+01,1.358490566037735903e+01,4.588461538461538680e+01
4.728301886792452535e+01,3.859813084112149539e+01,8.561904761904762040e+01,7.253211009174312096e+01,8.541284403669725123e+01,1.364150943396226445e+01,4.555769230769230660e+01
4.728301886792452535e+01,3.998130841121495394e+01,8.567619047619047024e+01,7.233027522935779530e+01,8.543119266055046523e+01,1.364150943396226445e+01,4.544230769230769340e+01
